Timestamp,"By filling out this form I affirm that I belong to the Memon community and will answer all questions to the best of my abilities. All information collected will be entirely anonymous and carry no commercial bearing. I consent to such information being used for the scope of this project only, which is for purely academic and research purposes.",What is your age?,What is your gender?,What is your country of residence?,What sub-group(jamaat) of the Memon community do you belong to ?,"If your father belongs to the memon community, please mention his subgroup/jamat ","If your mother belongs to the memon community, please mention her subgroup/jamat ",How important is it for your current/future partner to be from the Memon community?,How important is it for your FAMILY that your current/future partner be part of the Memon community?,How likely are you to express your feelings for someone who is NOT from the Memon community?,How likely are you to express your feelings for someone who is from the Memon community?,How likely are you to marry someone who DOES NOT BELONG to Memon community?,How likely are you to marry someone who BELONGS to Memon community?,What is your current marital status?,"Does your partner belong to the Memon community? If Memon, please specify subgroup/jamat",What is the gender of your partner?,How old were you when you started seeing each other?,How old was your partner when you started to see them?,Is the relationship formal or yet to become formal?,"Does your partner belong to the Memon community? If Memon, please specify subgroup/jamat",What is the gender of your partner?,How old were you when you got engaged?,How old was your PARTNER when you got engaged?,How old were you when you got married?,How old was your PARTNER when you got married?,Was it an arranged marriage?,"Have you been in a relationship/ engaged previously? If with a Memon, but different subgroup, please specify in the others option."
5/7/2021 2:18:37,I agree,18 - 25,Female,Pakistan,Dhoraji waley,Kundila ,Dhoraji waley,1,2,5,2,5,2,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 2:48:45,I agree,18 - 25,Male,Pakistan,Vasavad,Silat,Lakhany,3,3,3,3,5,5,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 2:50:47,I agree,18 - 25,Male,Pakistan,Kutyana,Kutyana,Kutyana,1,2,5,5,5,5,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 3:22:28,I agree,18 - 25,Male,Pakistan,Dhoraji waley,Dhoraji waley,Dhoraji waley,3,4,4,3,2,4,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 4:06:25,I agree,30-35,Male,Pakistan,Upleta,Upleta ,Upleta ,3,5,2,3,4,3,Married,,,,,,Upleta ,Female,23,17,25,19,Yes,
5/7/2021 4:11:25,I agree,25 - 30,Male,Pakistan,Jetpur,Jetpur,Jetpur,5,5,3,5,1,5,Relationship / Dating,Jetpur,Female,28,25,Engaged,,,,,,,,
5/7/2021 4:25:17,I agree,18 - 25,Female,Pakistan,Jetpur,Jetpur,Dhoraji,1,5,4,5,4,4,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 4:50:55,I agree,18 - 25,Female,Pakistan,Dhoraji waley,Dhoraji,Dhoraji,1,5,1,1,1,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 4:54:22,I agree,30-35,Female,Pakistan,Gondal waley,Gondal waley,Verawal waley,4,4,2,5,1,5,Married,,,,,,Mumbai waley,Male,28,30,29,31,Yes,
5/7/2021 5:05:16,I agree,18 - 25,Male,Pakistan,Bantwa,Bantwa,Dhoraji,1,4,1,1,5,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 5:09:25,I agree,18 - 25,Female,Pakistan ,Kachi memon,Kachi memon,Halari memon,1,3,4,4,2,4,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 5:10:47,I agree,18 - 25,Female,Pakistan ,Dhoraji waley,Dhoraji wale ,Dhoraji wale ,2,5,5,5,3,5,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 5:17:54,I agree,18 - 25,Male,Pakistan,Vanthali,Vanthali,Vanthali,2,4,5,4,3,3,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 5:18:39,I agree,18 - 25,Female,Pakistan,porbandar,porbandar ,porbandar ,2,4,5,5,3,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 5:19:18,I agree,18 - 25,Male,Malaysia ,Kathiawadi ,Anjuman ,Anjuman,4,4,4,4,4,4,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 5:19:56,I agree,18 - 25,Female,Pakistan,Kutchi Memon.,Kutchi,Kutchi,2,5,3,3,3,4,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 5:20:06,I agree,18 - 25,Male,Pakistan,Jetpur,Jetpur,Jetpur,4,5,4,4,3,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 5:22:49,I agree,18 - 25,Male,Pakistan ,Okhai,Dawra ,Punjwani ,2,5,5,5,2,5,Relationship / Dating,No,Female,20,18,Not yet engaged,,,,,,,,
5/7/2021 5:23:16,I agree,30-35,Female,Pakistan,Jetpur,Dhoraji,Jetpur,1,1,3,3,5,3,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 5:23:32,I agree,18 - 25,Male,Pakistan,Jetpur,Jetpur,Jetpur,2,2,3,3,3,4,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 5:25:43,I agree,18 - 25,Male,Pakistan,Jetpur,Jetpur,Jetpur,5,5,1,5,1,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 5:32:21,I agree,18 - 25,Female,Pakistan,Junnagarh,No clue,Bombay waley,1,4,5,3,5,3,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 5:50:17,I agree,18 - 25,Female,Pakistan,Jetpur,Jetpur,Jetpur,3,3,4,3,4,4,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 5:55:57,I agree,18 - 25,Female,Pakistan,Bantwa,Bantwa,Bantwa,2,3,5,3,5,4,Relationship / Dating,No,Male,20,22,Not yet engaged,,,,,,,,
5/7/2021 5:56:34,I agree,18 - 25,Female,Pakistan ,Halari,Halari,Okhai,1,5,2,5,1,5,Relationship / Dating,No,Male,18,23,Not yet engaged,,,,,,,,
5/7/2021 6:08:02,I agree,18 - 25,Female,Pakistan,Kutiana,Kutiana ,Kutiana,3,3,4,4,3,4,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 6:10:03,I agree,18 - 25,Female,Pakistan,Hilari,Himari,She doesnt. ,1,1,5,1,5,1,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 6:11:12,I agree,25 - 30,Female,Pakistan,Kutchi memon,Kutchi Memon,Kutchi Memon,4,5,4,1,3,5,Married,,,,,,Jetpur,Male,24,30,24,30,Yes,
5/7/2021 6:31:47,I agree,18 - 25,Female,Pakistan ,Bantwa,Bantwa,Bantwa,1,5,4,1,5,2,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 6:32:43,I agree,18 - 25,Female,Pakistan ,Halari,Halari,Okhai,1,5,2,5,1,5,Relationship / Dating,No,Male,18,23,Not yet engaged,,,,,,,,
5/7/2021 6:43:38,I agree,18 - 25,Female,Pakistan,Dhoraji waley,Dhoraji waley,Dhoraji waley,3,5,4,2,1,5,Relationship / Dating,Dhoraji waley,Male,20,28,Engaged,,,,,,,,
5/7/2021 7:37:31,I agree,18 - 25,Male,Pakistan,Dhoraji waley,Dhoraji waley,Dhoraji waley,4,3,5,5,4,5,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 8:28:05,I agree,18 - 25,Female,Pakistan,Jetpur,Jetpur,Dhoraji waley,1,5,4,5,4,4,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 9:31:26,I agree,18 - 25,Male,Pakistan ,Opleta,Opleta,Mumbai - waley,2,4,3,4,3,4,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 9:33:07,I agree,18 - 25,Male,Pakistan,Bantwa,Bantwa,Bantwa,1,3,5,3,5,3,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 9:53:28,I agree,18 - 25,Male,Pakistan,Dhoraji waley,Dhoraji waley,Dhoraji waley,1,1,1,1,5,3,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 10:47:19,I agree,18 - 25,Female,USA,Bantwa,Bantwa,Bantwa,1,3,5,5,4,4,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 12:23:21,I agree,18 - 25,Male,Pakistan,Kutiyana,Kutiyana,Kutiyana,2,5,5,5,1,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 12:24:51,I agree,35-40,Female,Pakistan,Morbi Tankara,Morbi Tankara,Morbi Tankara,3,3,3,3,3,3,Married,,,,,,Morbi Tankara,Male,19,21,20.5,22.5,Yes,
5/7/2021 12:34:20,I agree,18 - 25,Male,Pakistan,Vasavad,Silat,Lakhany,3,3,3,3,5,5,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 13:21:04,I agree,18 - 25,Female,Pakistan,Verawal waley,Verawal,Bombay walay,1,4,5,3,5,3,Relationship / Dating,No,Male,19,21,Soon to be engaged,,,,,,,,
5/7/2021 13:25:47,I agree,18 - 25,Female,Pakistan ,Kutyana,Kutyana,Kutyana,4,4,3,3,2,4,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 14:05:41,I agree,18 - 25,Male,Pakistan,Dhoraji waley,Dhoraji Walay,Dhoraji Walay,2,3,5,4,5,3,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 14:14:17,I agree,18 - 25,Male,Pakistan,kutiyana,...,...,1,4,4,4,3,4,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 14:42:10,I agree,18 - 25,Female,Pakistan ,Jetpur,Jetpur,Gondal waley,3,5,2,2,1,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 15:26:47,I agree,18 - 25,Female,Pakistan ,Jetpur,Jetpur,Bawani,5,5,1,5,1,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 15:35:45,I agree,18 - 25,Female,Pakistan,Halari ,Halari ,Bhaunagar ,3,4,4,5,4,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 15:39:49,I agree,18 - 25,Female,Pakistan,porbandar,porbandar ,porbandar ,2,4,5,5,3,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 15:50:47,I agree,18 - 25,Female,Pakistan,Jetpur,Jetpur,Mianoor,3,3,5,3,5,5,Relationship / Dating,No,Male,15,15,Soon to be engaged,,,,,,,,
5/7/2021 16:16:00,I agree,18 - 25,Female,Pakistan,Jetpur,Bawany,She doesnt,1,2,4,4,3,3,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 16:52:23,I agree,40 +,Female,Pakistan,Mumbai- waley,Mumbai waley,Verawal ,5,5,2,3,1,5,Married,,,,,,verawal,Male,19,23,19,23,Yes,
5/7/2021 16:54:33,I agree,35-40,Male,Pakistan,Verawal waley,verawal,mumbai,5,5,2,4,1,5,Married,,,,,,Mumbai waley,Female,27,22,27,22,Yes,
5/7/2021 16:56:13,I agree,40 +,Female,Pakistan,Jaipur waley,Jaipur,Jetpur,5,5,3,5,1,5,Married,,,,,,Mumbai waley,Male,22,25,23,26,Yes,
5/7/2021 16:57:30,I agree,40 +,Male,Pakistan,Morbi Tankara,Morbi tankara,Morbi tankara,5,5,1,5,1,5,Married,,,,,,Morbi Tankara,Male,17,22,17,22,Yes,
5/7/2021 16:59:39,I agree,40 +,Female,Pakistan,Verawal waley,Veraval,Bombay waley,5,5,1,5,1,5,Married,,,,,,Bombay waley,Male,18,26,18,26,Yes,
5/7/2021 18:22:42,I agree,18 - 25,Female,Pakistan,Kuttiyana ,Kuttiyana,Kuttiyana,1,3,5,3,4,4,Relationship / Dating,Bantwa,Male,19,18,Not yet engaged,,,,,,,,
5/7/2021 18:37:02,I agree,18 - 25,Female,Pakistan ,Bantwa,Bantwa ,Bantwa ,1,4,4,4,4,2,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 19:23:23,I agree,18 - 25,Female,Pakistan,Bantwa,Bantwa,Bantwa,1,3,4,4,5,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 19:24:33,I agree,18 - 25,Female,Pakistan,Bantwa,SardarGarh,Vanthali,1,3,4,4,3,4,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
